ID,Question,Answer,Answer Mode,Source URL
2330,How can a late payment affect my credit score?," Missing a payment, or paying beyond your due date, can hurt your credit score. As a credit reporter to the Credit Reporting Agencies (CRAs), we are required, per the Fair Credit Reporting Act, to report your pay history accurately. If your payment is more than 30 days beyond your due date, we may report this to the CRAs, meaning the late payment could appear on your credit reports. A CRA generally can report most negative information for seven years. Payment history reported to the CRAs becomes part of your overall credit report. The CRAs use your credit history to develop a credit score. Your credit score is then used by creditors to make decisions surrounding whether to extend you credit. Even one late payment may have negative consequences to your credit score. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_credit/how_can_a_late_payment_affect_my_credit_score.html
2331,What is Toyota Financial Services?," Toyota Financial Services (TFS) is the finance brand for Toyota in the United States, offering retail auto financing and leasing through participating dealers and Toyota Motor Credit Corporation (TMCC) and Toyota Lease Trust. TFS also offers vehicle and payment protection products through participating dealers and Toyota Motor Insurance Services (TMIS) and its subsidiaries. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about-tfs/what_is_toyota_financial_services.html
2332,How does TFS relate to Toyota Motor Corporation and Toyota Motor Insurance Services?," TFS is a service mark of both TMCC and TMIS. As a brand name, TFS markets finance products offered through TMCC, and vehicle and payment protection products offered through participating dealers and TMIS and its subsidiaries. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about-tfs/how_does_tfs_relate_to_toyota_motor_corporation_and_toyota_motor_insurance_services.html
2333,I am an investor looking for more information. Who can I contact?," For more information about investment opportunities, please visit our [investor relations](/us/en/investor_relations/about_toyota.html) section, or [contact us](/us/en/contact_us.html) for assistance. ",LINK_OUT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about-tfs/i_am_an_investor_looking_for_more_information_who_can_i_contact.html
2334,What is changing and why?,"Improved site navigation that thoughtfully arranges your account features and a reimagined dashboard making it easier to find what you’re looking for.
An Express Payment option on the dashboard allowing you to finalize your payment with a single click.
Easy access to your payoff quote or lease-end options directly from the dashboard.
A new payment experience, which makes it easier to schedule and manage your payments from the website or mobile app.",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_this_website/What_is_changing_and_why.html
2335,Who can I contact about problems with the TFS site?," If you have any trouble with our website, please contact our [Customer Service Team](/us/en/contact_us.html) for help. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_this_website/who_can_i_contact_about_problems_with_the_tfs_site.html
2336,How do you use the information I provide on this site?," We may share personally identifiable information (e.g., name, mailing address, email address) with other companies in the Toyota family and with our business partners (including Toyota dealers), to help serve you better. Please read our [Privacy Policy](/us/en/online_policies_and_agreements.html) for more information. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_this_website/how_do_you_use_the_information_i_provide_on_this_site.html
2337,How can I view certificates or PDF documents on this website?,"Open Internet Explorer web browser
Click on the “Tools” option on the menu bar
Click “Internet options” at the bottom of the drop-down menu
In the “Internet Options” window, click on the “Content” tab
Click on the “Certificates” button, then click the “Trusted Publishers” tab
Locate the certificate issued to TFS and issued by VeriSign Class 3 Secure Server
Open Mozilla Firefox web browser
Type in the URL ""https://www.toyotafinancial.com""
Click on the lock to the left of the URL
Click the arrow to the right of ""www.toyotafinancial.com""
It should indicate that the certificate is verified by Symantec Corporation
Open Google Chrome web browser
Type in the URL ""https://www.toyotafinancial.com""
Click on the three-dot menu in the upper right of the browser
Scroll down to “More tools,” then click “Developer tools”
Click the “Security” tab
Click the “View Certificate “ button
The popup should indicate that the certificate is issued by Symantec Class 3 Secure Server CA – G4",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_this_website/how_can_i_view_certificates_or_pdf_documents_on_this_website.html
2338,What types of system requirements and browser settings are needed for this site?," To properly view and use the TFS website, you will need to have cookies and (active) JavaScript enabled on your browser. In addition, here are some minimum system requirements: Operating systems: PC: Microsoft Windows 7 or higher Mac: OS X 10.6 or higher Browsers: Google Chrome Version 41 or higher Microsoft Internet Explorer 9.0 or higher (Windows only) Mozilla Firefox Version 38 or higher Apple Safari Version 6.1 or higher (OS X only) Devices: Windows PC (desktop, laptop) Mac (desktop, laptop) Apple (iPad, iPhone) Android (tablet, phone) Processor: 1 GHz or faster Display: 32-bit color depth recommended (PC Mac) Memory: 512 MB or more RAM Internet Connection: 256 K or faster (broadband recommended) Software: 256 K or faster (broadband recommended) ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_this_website/what_types_of_system_requirements_and_browser_settings_are_needed_for_this_site.html
2339,How secure is the TFS website?," As a financial services company, TFS works hard to protect your privacy and security. We have adopted technology and security standards widely used throughout the online banking industry. Your account information is encrypted for additional security. Please read our [Privacy Policy](/us/en/online_policies_and_agreements.html) for more information. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_this_website/how_secure_is_the_tfs_website.html
2340,What is your privacy policy?, Our full privacy policies are available for you to read online. [Online Policies Agreements](/us/en/online_policies_and_agreements.html) ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_this_website/what_is_your_privacy_policy.html
2341,Do you have an online glossary with the terms used on this website?," We do. Please take a look at our [Glossary](/us/en/glossary.html) for definitions of terms you may not be familiar with. If the term youre looking for is not listed, feel free to [contact us](/us/en/contact_us.html). ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_this_website/do_you_have_an_online_glossary_with_the_terms_used_on_this_website.html
2342,Do you use personal financial services such as mint.com to aggregate your Toyota Financial Services (TFS) account?," As a valued Toyota Financial Services (TFS) customer, your privacy and security of your personal information is important us. As you are aware we have strengthened the security controls around customer authentication to include multi factor authentication. You may find it difficult or unable to log in if you use personal financial service providers such as mint.com to aggregate your financial information. Some of these personal financial service providers have not changed their procedures to account for TFS security improvements. This has resulted in account lock outs due to multiple log in attempts made on your behalf by the personal finance service providers. If you wish to allow such sites to access your TFS account, please reset or refresh your login information directly with your personal financial services site. We apologize for any inconvenience this may cause. Rest assured you can always access your account directly through toyotafinancial.com or our myTFS mobile app. ",PORTAL_REDIRECT,https://www.toyotafinancial.com/us/en/planning_tools/faq/account_access_and_password/do_you_use_personal_financial_services_such_as_mintcom_to_aggregate_your_toyota_financial_services_tfs_account.html
2343,Why do I continue to receive a verification code when I use a personal financial services site?," A verification code may have been initiated by your personal financial services site in an attempt to access and aggregate your account information. If you wish to allow such sites to access your TFS account, please reset or refresh your login information directly with your personal financial services site. ",PORTAL_REDIRECT,https://www.toyotafinancial.com/us/en/planning_tools/faq/account_access_and_password/why_do_i_continue_to_receive_a_verification_code_when_i_use_a_personal_financial_services_site.html
2344,I forgot my password. How can I get a new one?," If you go to log in to the TFS website and you have forgotten your password, you can create a new one by simply clicking on [Forgot Your Password?](https://www.toyotafinancial.com/pub/w/forgot_password) below the Password text box. From there, you will be asked to enter your username, answer security questions, or provide some specific account information. If the information you enter matches what we have on record, you should be able to reset your password. Once your password has been reset, youll get an email letting you know that your password has been successfully changed. ",PORTAL_REDIRECT,https://www.toyotafinancial.com/us/en/planning_tools/faq/account_access_and_password/i_forgot_my_password_how_can_i_get_a_new_one.html
2345,How can I change my password?,"Log in to the website
Select “My Profile” from the top navigation bar
Select “Password” from the center of the page
Update your password
Click the ""Confirm"" button",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/account_access_and_password/how_can_i_change_my_password.html
